date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:27:43	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2018%20Jun%202026%2010:27:56%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/www.googletagmanager.com/gtm.115445.delayed	(from https://congbetongcuaau.com/)
17:27:45	12461/12461	---M-Z	200	added ('OK')	application/x-javascript	etag:%2224dd001152c5a19d5e00f7af192d7aa3%22	https://connect.facebook.net/en_US/sdk.js	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/connect.facebook.net/en_US/sdk.js	(from https://congbetongcuaau.com/)
17:27:45	34022/34022	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:27:56%20GMT	https://congbetongcuaau.com/gioi-thieu-a1.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/gioi-thieu-a1.html	(from https://congbetongcuaau.com/)
17:27:47	30583/30583	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:27:57%20GMT	https://congbetongcuaau.com/thong-tin-cong-ty-a6.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/thong-tin-cong-ty-a6.html	(from https://congbetongcuaau.com/)
17:27:47	34243/34243	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:27:58%20GMT	https://congbetongcuaau.com/nhan-luc-a4.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/nhan-luc-a4.html	(from https://congbetongcuaau.com/)
17:27:48	30084/30084	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:27:58%20GMT	https://congbetongcuaau.com/chinh-sach-chat-luong--a5.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/chinh-sach-chat-luong--a5.html	(from https://congbetongcuaau.com/)
17:27:48	33086/33086	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:27:59%20GMT	https://congbetongcuaau.com/index.php/chung-nhan-tieu-chuan-san-pham-a9.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/index.php/chung-nhan-tieu-chuan-san-pham-a9.html	(from https://congbetongcuaau.com/)
17:27:49	35589/35589	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:27:59%20GMT	https://congbetongcuaau.com/du-an-a3.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/du-an-a3.html	(from https://congbetongcuaau.com/)
17:27:49	55134/55134	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:28:00%20GMT	https://congbetongcuaau.com/cong-be-tong-c46.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/cong-be-tong-c46.html	(from https://congbetongcuaau.com/)
17:27:49	32690/32690	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:28:00%20GMT	https://congbetongcuaau.com/index.php/de-cong-(goi-do-cong)-c60.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/index.php/de-cong-(goi-do-cong)-c60.html	(from https://congbetongcuaau.com/)
17:27:50	33945/33945	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:28:00%20GMT	https://congbetongcuaau.com/index.php/gioang-cao-su-c58.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/index.php/gioang-cao-su-c58.html	(from https://congbetongcuaau.com/)
17:27:51	54436/54436	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:28:01%20GMT	https://congbetongcuaau.com/cong-tron-c53.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/cong-tron-c53.html	(from https://congbetongcuaau.com/)
17:27:51	51326/51326	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:28:01%20GMT	https://congbetongcuaau.com/cong-hop--c54.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/cong-hop--c54.html	(from https://congbetongcuaau.com/)
17:27:51	41913/41913	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:28:02%20GMT	https://congbetongcuaau.com/ho-ga-duc-san-c48.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/ho-ga-duc-san-c48.html	(from https://congbetongcuaau.com/)
17:27:52	45761/45761	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:28:02%20GMT	https://congbetongcuaau.com/cong-hop-doi-c55.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/cong-hop-doi-c55.html	(from https://congbetongcuaau.com/)
17:27:52	36783/36783	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:28:03%20GMT	https://congbetongcuaau.com/index.php/cac-san-pham-khac-c51.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/index.php/cac-san-pham-khac-c51.html	(from https://congbetongcuaau.com/)
17:27:52	37075/37075	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:28:03%20GMT	https://congbetongcuaau.com/index.php/cac-san-pham-cau-kien-be-tong-duc-san-c50.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/index.php/cac-san-pham-cau-kien-be-tong-duc-san-c50.html	(from https://congbetongcuaau.com/)
17:28:00	34486/34486	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:28:04%20GMT	https://congbetongcuaau.com/index.php/coc-van-cu-be-tong-du-ung-luc-c59.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/index.php/coc-van-cu-be-tong-du-ung-luc-c59.html	(from https://congbetongcuaau.com/)
17:28:02	40264/40264	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:28:13%20GMT	https://congbetongcuaau.com/tam-tuong-be-tong-acotec-c47.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/tam-tuong-be-tong-acotec-c47.html	(from https://congbetongcuaau.com/)
17:28:03	31044/31044	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:28:14%20GMT	https://congbetongcuaau.com/cau-thang-duc-san-c49.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/cau-thang-duc-san-c49.html	(from https://congbetongcuaau.com/)
17:28:03	45401/45401	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:28:14%20GMT	https://congbetongcuaau.com/du-an-l7.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/du-an-l7.html	(from https://congbetongcuaau.com/)
17:28:03	40908/40908	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:28:14%20GMT	https://congbetongcuaau.com/khach-hang-l10.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/khach-hang-l10.html	(from https://congbetongcuaau.com/)
17:28:04	32776/32776	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:28:14%20GMT	https://congbetongcuaau.com/nha-cung-cap-l8.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/nha-cung-cap-l8.html	(from https://congbetongcuaau.com/)
17:28:04	28258/28258	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:28:15%20GMT	https://congbetongcuaau.com/index.php/vi-deo--a10.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/index.php/vi-deo--a10.html	(from https://congbetongcuaau.com/)
17:28:05	53184/53184	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:28:16%20GMT	https://congbetongcuaau.com/tin-tuc-l2.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/tin-tuc-l2.html	(from https://congbetongcuaau.com/)
17:28:10	32389/32389	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:28:16%20GMT	https://congbetongcuaau.com/index.php/tin-tuyen-dung--l5.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/index.php/tin-tuyen-dung--l5.html	(from https://congbetongcuaau.com/)
17:28:12	33364/33364	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:28:23%20GMT	https://congbetongcuaau.com/lien-he.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/lien-he.html	(from https://congbetongcuaau.com/)
17:28:12	51705/51705	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:28:23%20GMT	https://congbetongcuaau.com/index.php	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/index-2.html	(from https://congbetongcuaau.com/)
17:28:13	27645/27645	---M--	200	added ('OK')	image/png	date:Mon,%2013%20May%202019%2008:56:06%20GMT	https://congbetongcuaau.com/images/contact/4174logo_bt.png	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/images/contact/4174logo_bt.png	(from https://congbetongcuaau.com/)
17:28:19	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2018%20Jun%202026%2010:28:25%20GMT	https://congbetongcuaau.com/index.php/site/setLangAdmin/1	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/index.php/site/setLangAdmin/1	(from https://congbetongcuaau.com/)
17:28:20	3003/3003	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jan%202017%2001:26:20%20GMT	https://congbetongcuaau.com/images/languages/5974vietnam.png	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/images/languages/5974vietnam.png	(from https://congbetongcuaau.com/)
17:28:21	604307/604307	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Apr%202024%2002:46:27%20GMT	https://congbetongcuaau.com/images/slide/3333slide-8.jpg	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/images/slide/3333slide-8.jpg	(from https://congbetongcuaau.com/)
17:28:22	330185/330185	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Apr%202024%2002:45:50%20GMT	https://congbetongcuaau.com/images/slide/662slide-4.jpg	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/images/slide/662slide-4.jpg	(from https://congbetongcuaau.com/)
17:28:22	146305/146305	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Apr%202024%2002:45:09%20GMT	https://congbetongcuaau.com/images/slide/1210slide-3.jpg	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/images/slide/1210slide-3.jpg	(from https://congbetongcuaau.com/)
17:28:23	57150/57150	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2010:28:34%20GMT	https://congbetongcuaau.com/index.php/bao-gia-cong-hop-be-tong-duc-san-p53.html	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/index.php/bao-gia-cong-hop-be-tong-duc-san-p53.html	(from https://congbetongcuaau.com/)
17:28:23	214832/214832	---M--	200	added ('OK')	image/jpeg	date:Fri,%2012%20Apr%202024%2001:54:30%20GMT	https://congbetongcuaau.com/images/slide/4624slide-1.jpg	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/images/slide/4624slide-1.jpg	(from https://congbetongcuaau.com/)
17:28:24	104092/104092	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20May%202019%2002:17:35%20GMT	https://congbetongcuaau.com/images/link/2964acotec_3_large.jpg	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/images/link/2964acotec_3_large.jpg	(from https://congbetongcuaau.com/)
17:28:24	335479/335479	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20May%202019%2003:23:30%20GMT	https://congbetongcuaau.com/images/link/612img_4659.jpg	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/images/link/612img_4659.jpg	(from https://congbetongcuaau.com/)
17:28:24	110625/110625	---M--	200	added ('OK')	image/png	date:Mon,%2013%20May%202019%2007:58:24%20GMT	https://congbetongcuaau.com/images/link/9297link3.png	D:/SUPPER%20APP%20TRIEU%20DO/webbetonglammau/betongphuongbac.com/images/link/9297link3.png	(from https://congbetongcuaau.com/)
